code,公司,ROA_now,CFO,CFO-NI,NCL_chg,CR_chg,CE_chg,ROA_chg,MR_chg,ATO_chg
1760,寶齡富錦,0.02166803,177418,1.530927247,0.291573315,4.6,0,0.00744663,-0.84,0.01
1762,中化生,0.049141174,-66274,-1.260776498,0.004542747,-8.93,0,0.006615055,-0.9,-0.02
1773,勝一,0.108968512,2109504,0.336063513,-0.092185494,1.61,0,0.028702929,0.66,0.01
1776,展宇,0.01777814,110402,2.698187787,0.192287207,50.76,-3.82636E-05,0.012446216,1.87,0.04
1783,和康生,0.101952061,171200,0.124739674,0.024096386,99.57,0,0.014744029,0.25,0
1786,科妍,0.080762625,272012,0.559156488,-0.011307038,115.7,0.006506402,0.018139712,1.85,0.01
1789,神隆,0.025171764,231126,-0.216662769,-0.001901736,-10.8,0,0.01229005,1.41,0.04
1795,美時,0.103520931,1614207,-0.527362883,0.144479576,75.28,0,-0.006449147,-3.46,-0.04
1802,台玻,-0.000906719,4350442,-54.02959604,0.606687267,20.31,0,0.006124137,1.69,0.02
1805,寶徠,-0.063921412,1746,-1.017763037,-0.00436865,45.9,0.427436889,-0.040391405,-0.22,-0.03
1806,冠軍,-0.00268313,292770,-14.64895105,0.004805404,12.13,0,-0.003038908,2.41,0.01
1808,潤隆,0.181029701,18623282,1.418363389,-0.306549703,8.17,0,0.045292154,-1.35,-0.01
1809,中釉,-0.012139791,145850,-3.608516803,-0.104672647,4.14,0,-0.003967754,0.64,0.01
1810,和成,0.001802207,1260744,65.02828114,-0.421094406,-19.67,0,0.003482465,0.64,0.01
1817,凱撒衛,0.085539226,335222,0.449627455,-0.017251926,44.49,0,0.034458307,0.63,0.04
1903,士紙,0.009903981,136868,0.586783375,0.031082369,7.61,0,-0.00262785,0.72,0
1904,正隆,0.013896227,4129989,3.208065446,-0.004009539,0.37,0,0.007121068,1.03,0.01
1905,華紙,-0.015574909,112829,-1.204471853,0.277647518,6.49,0,0.004443673,1.71,0.01
1906,寶隆,0.00611816,57795,0.391879199,-0.05360075,-1.45,0,-0.001076658,-0.22,0
1907,永豐餘,0.011144414,5349334,2.324279396,0.215098175,13.05,0,0.005871659,0.94,0.01
1909,榮成,-0.013816914,4384756,-5.525382254,0.038125069,-1,0,0.000688397,1.11,0.03
2002,中鋼,0.005477424,38689790,9.406518082,0.106050798,8.52,0,0.003951824,0.66,-0.01
2006,東和鋼鐵,0.081461214,4621785,0.006334629,-0.006229996,8.91,0,0.026160909,0.29,0.04
2007,燁興,-0.080395531,-519685,-0.471081134,0.093443536,-2.11,0,-0.023749901,-1.5,0
2008,高興昌,0.013711954,109610,0.060714562,-0.009777698,2.61,0,-0.000465316,0.57,-0.01
2009,第一銅,-0.00228901,198317,-11.91693273,-0.005856428,0.57,0,-0.003648812,0.78,0.02
2010,春源,0.043296785,2244424,1.55318297,0.097828084,10.45,0,0.013039735,0.16,0.01
2012,春雨,0.019702036,1395468,4.820731539,-0.005269716,22.43,0,0.004572064,-0.14,0.01
2013,中鋼構,0.03779746,-146004,-1.267813709,0.020631759,-1.4,0,0.011627846,0.34,-0.05
2014,中鴻,0.003706006,1761138,13.40356258,0.074998015,14.91,0,0.001608181,0.22,0
2015,豐興,0.088495787,1959102,-0.181516693,0.015702066,-0.33,0,0.021516518,0.22,-0.02
2017,官田鋼,-0.023063325,538142,-3.110890576,-0.772824918,-74.88,0,-0.008486548,-1.25,0
2020,美亞,0.147410482,1500100,0.360455994,0.013861163,36.1,0,0.058355675,0.28,-0.07
2022,聚亨,0.03845806,1296864,2.784221323,-0.002776902,42.35,0,0.034953082,2.26,-0.02
2023,燁輝,-0.015612676,1122734,-1.783642491,-0.018097211,-3.66,-0.008481344,-0.011245254,-0.11,0
2024,志聯,-0.029852274,288393,-6.260150294,-0.036888178,8.22,0,-0.009364925,0.48,0.02
2025,千興,-0.130984799,-684838,1.896725292,0.100470673,-2112.3,0,-0.075505734,-0.96,0.09
2027,大成鋼,0.040619297,25262647,3.603009608,-0.124474597,-0.67,0,0.002998827,-0.74,0
2028,威致,0.04819189,322859,-0.225059046,0.02080129,-10.96,0,0.010634119,0.07,-0.03
2029,盛餘,0.058692142,1226923,0.916112125,-0.097200237,15.32,0,0.016324598,0.18,0.04
2030,彰源,0.003674968,574114,12.15297029,-0.015232098,-8.7,0,-0.000877756,-0.16,-0.01
